station_code,station_name,lat,lon
VLC,Velachha,,
VLN,Vilegaon,,
VMM,Valaramanikkam,,
VOL,Virol,,
VRJ,Vadaj,,
VRKD,Varkhedi,,
VSI,Vishvamitri,,
VUL,Virul,,
WRD,Warudkhed,,
XBAC,Bachharpur Halt,,
BDO,Bahalda Road,,
AMJ,Amin Gaon,,
AMNR,Ammanur,,
ANKI,Anakhi,,
ANW,Anawal,,
CMK,Chamak,,
CRND,Choranda Junction,,
DAVC,Jalalabad DAV College,,
DEU,Devsana,,
DEWA,Dewa,,
DNZ,Dhanori,,
GNV,Gandevi,,
HFG,Haflong Hill,,
NRPD,Narayanpet Road,,
SBY,Solan Brewery,,
SNAD,Saniyad,,
SRGR,Saraygarh,,
BLYC,BLYC,,
BWND,BWND,,
YY-WADB,YY-WADB,,
YY-MLYB,YY-MLYB,,
WDC,WDC,,
AMLX,AMLX,,
AQX,AQX,,
VAH,VAH,,
GBY,GUABARI,,
DSKG,DSKG,,
BDYD,BDYD,,
SGBB,SGBB,,
BSPC,BSPC,,
BSGS,BSGS,,
LKOY,LKOY,,
KGPW,KGPW,,
GVDP,GVDP,,
RLJC,RLJC,,
RPMY,RPMY,,
NFKS,NFKS,,
NFKN,NFKN,,
KHMP,KHEMPUR,,
IKC,IKARCHALA,,
YY-BJUC,YY-BJUC,,
MTUJ,MTUJ,,
CCSJ,CCSJ,,
CPPR,CPPR,,
PAIL,PAIL,,
ULR,ULTADANGA ROAD,,
CLWS,CLWS,,
JUNC,JUNC,,
ETYD,ETYD,,
LCAB,LCAB,,
BELG,BELG,,
KANL,KANL,,
YADA,YADA,,
YAKUT PUR(YKA,YAKUT PUR(YKA,,
